model,model_label,split,threshold_type,is_recommended,accuracy,precision,recall,fpr,f1,tn,fp,fn,tp,threshold,roc_auc,average_precision
hist_gb_8m,HistGradientBoosting 8M,val,default_0.5,False,0.9751187284356871,0.9997509063778416,0.9748364050273935,0.01150648267994647,0.9871364754214631,90117,1049,108679,4210219,0.5,,
hist_gb_8m,HistGradientBoosting 8M,test,default_0.5,False,0.9858020874969455,0.9995808388166723,0.9859203830274366,0.019888651978204216,0.9927036182407313,82741,1679,57179,4003940,0.5,0.9971881815870273,0.999941780126037
hist_gb_8m,HistGradientBoosting 8M,ood_attack_holdout,default_0.5,False,0.45783062044633255,1.0,0.45783062044633255,0.0,0.6280985102455348,0,0,240952,203470,0.5,,
hist_gb_8m,HistGradientBoosting 8M,val,tuned_fpr_cap_0.005,False,0.9702716332461389,0.9998913745158406,0.9697494592370554,0.004990895728670776,0.9845897821736371,90711,455,130649,4188249,0.7025,,
hist_gb_8m,HistGradientBoosting 8M,test,tuned_fpr_cap_0.005,False,0.9838129613543619,0.9997347436960964,0.98373748713101,0.012556266287609572,0.9916716042463103,83360,1060,66044,3995075,0.7025,0.9971881815870273,0.999941780126037
hist_gb_8m,HistGradientBoosting 8M,ood_attack_holdout,tuned_fpr_cap_0.005,False,0.41411091260108635,1.0,0.41411091260108635,0.0,0.5856837804035885,0,0,260382,184040,0.7025,,
hist_gb_8m,HistGradientBoosting 8M,val,tuned_fpr_cap_0.010,False,0.9745693033026278,0.9997904246893973,0.9742367150138762,0.009674659412500274,0.986848173929502,90284,882,111269,4207629,0.5275,,
hist_gb_8m,HistGradientBoosting 8M,test,tuned_fpr_cap_0.010,False,0.9855685834821479,0.9996151709068206,0.9856480442951807,0.018253968253968255,0.9925824754193605,82879,1541,58285,4002834,0.5275,0.9971881815870273,0.999941780126037
hist_gb_8m,HistGradientBoosting 8M,ood_attack_holdout,tuned_fpr_cap_0.010,False,0.4518318175067841,1.0,0.4518318175067841,0.0,0.6224299702739815,0,0,243618,200804,0.5275,,
hist_gb_8m,HistGradientBoosting 8M,val,tuned_fpr_cap_0.020,True,0.9778563304296718,0.9995765501070933,0.9778031340402111,0.019623543865037403,0.9885699658427436,89377,1789,95866,4223032,0.335,,
hist_gb_8m,HistGradientBoosting 8M,test,tuned_fpr_cap_0.020,True,0.9871401523420718,0.9993934222449059,0.9874721720786808,0.028832030324567638,0.9933970332414931,81986,2434,50877,4010242,0.335,0.9971881815870273,0.999941780126037
hist_gb_8m,HistGradientBoosting 8M,ood_attack_holdout,tuned_fpr_cap_0.020,True,0.4915868251346693,1.0,0.4915868251346693,0.0,0.6591461078241769,0,0,225950,218472,0.335,,
hist_gb_8m,HistGradientBoosting 8M,val,tuned_fpr_cap_0.050,False,0.9819061582779751,0.9989336567358644,0.9825731008234045,0.04968957725467828,0.9906858373017304,86636,4530,75265,4243633,0.1475,,
hist_gb_8m,HistGradientBoosting 8M,test,tuned_fpr_cap_0.050,False,0.9900382073356444,0.9987926697558438,0.9910290735139748,0.057628524046434496,0.9948957262012014,79555,4865,36432,4024687,0.1475,0.9971881815870273,0.999941780126037
hist_gb_8m,HistGradientBoosting 8M,ood_attack_holdout,tuned_fpr_cap_0.050,False,0.5646547650656358,1.0,0.5646547650656358,0.0,0.7217627526184016,0,0,193477,250945,0.1475,,
